Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Russia,2024.0521060865376,DDoS,Telecommunications,340.0,362.0,Insider,Unknown,Antivirus,292.0
UK,2021.8200508352863,DDoS,Education,287.0,,Unknown,Zero-day,Unknown,
Russia,2016.988182766212,Ransomware,Telecommunications,190.0,233.0,Nation-state,Unpatched Software,Firewall,314.0
China,2016.8539958496483,Ransomware,Education,220.0,258.0,Insider,Social Engineering,Encryption,363.0
USA,2022.20829718056,Ransomware,Government,273.0,304.0,Unknown,Unpatched Software,VPN,280.0
Unknown,2014.955814842125,DDoS,Education,170.0,248.0,Nation-state,Social Engineering,Antivirus,302.0
France,2017.950974781881,DDoS,IT,320.0,301.0,Unknown,Zero-day,VPN,459.0
India,2021.0581687369909,SQL Injection,Government,320.0,400.0,Nation-state,Social Engineering,Firewall,267.0
Unknown,2023.0554560143448,Man-in-the-Middle,Telecommunications,394.0,394.0,Hacker Group,Zero-day,Antivirus,376.0
France,2019.9362926792685,Phishing,Retail,240.0,273.0,Unknown,Zero-day,Firewall,311.0
France,2021.850134885055,Ransomware,Banking,393.0,374.0,Unknown,Social Engineering,AI-based Detection,422.0
India,2023.936154702392,Ransomware,IT,294.0,337.0,Unknown,Unpatched Software,Antivirus,242.0
Australia,2022.0411598952223,Ransomware,Government,317.0,350.0,Insider,Social Engineering,Firewall,285.0
Brazil,2023.1437087770312,Malware,Healthcare,439.0,438.0,Unknown,Social Engineering,VPN,400.0
India,2024.1319789778977,Phishing,Banking,,,Unknown,Zero-day,VPN,342.0
Brazil,2016.985026861004,Man-in-the-Middle,Telecommunications,145.0,199.0,Unknown,Unpatched Software,Firewall,301.0
Australia,2016.0783187679208,Phishing,Telecommunications,337.0,324.0,Unknown,Social Engineering,Antivirus,495.0
China,2016.865045408856,Phishing,IT,196.0,253.0,Insider,Zero-day,Unknown,305.0
India,2022.1446871676524,Man-in-the-Middle,Banking,400.0,397.0,Unknown,Unpatched Software,Firewall,410.0
India,2017.242648589158,SQL Injection,IT,272.0,293.0,Unknown,Weak Passwords,Encryption,410.0
China,2022.051587678688,Malware,Telecommunications,347.0,401.0,Unknown,Unpatched Software,Firewall,292.0
Russia,2015.18402153767,DDoS,Banking,102.0,127.0,Nation-state,Social Engineering,AI-based Detection,370.0
Brazil,2022.1139801750032,Man-in-the-Middle,Banking,255.0,308.0,Insider,Weak Passwords,AI-based Detection,243.0
France,2018.0476419361776,DDoS,Banking,241.0,330.0,Nation-state,Zero-day,Unknown,267.0
China,2024.10501370676,Ransomware,Banking,380.0,370.0,Insider,Social Engineering,Firewall,372.0
USA,2015.9537535403297,Man-in-the-Middle,Retail,270.0,302.0,Nation-state,Unpatched Software,Unknown,416.0
UK,2019.993717911023,DDoS,Government,360.0,343.0,Unknown,Weak Passwords,AI-based Detection,450.0
China,2018.179011124329,Phishing,Healthcare,196.0,307.0,Unknown,Weak Passwords,Firewall,229.0
Japan,2016.842238508418,SQL Injection,IT,86.0,195.0,Unknown,Unpatched Software,Firewall,188.0
UK,2021.1112001809577,DDoS,Banking,343.0,331.0,Nation-state,Zero-day,AI-based Detection,372.0
Japan,2018.076637216099,Ransomware,Education,199.0,249.0,Unknown,Unpatched Software,Antivirus,304.0
Unknown,,DDoS,Healthcare,287.0,,Nation-state,Weak Passwords,Encryption,368.0
USA,2016.8452062935223,Phishing,Government,210.0,266.0,Unknown,Social Engineering,Encryption,329.0
France,2019.1060678897425,DDoS,Healthcare,207.0,260.0,Unknown,Weak Passwords,Firewall,281.0
France,2020.186221669616,Ransomware,Education,354.0,393.0,Unknown,Zero-day,Firewall,328.0
India,2023.7585104448967,SQL Injection,Telecommunications,367.0,382.0,Unknown,Social Engineering,Encryption,330.0
UK,2017.1563431440147,Man-in-the-Middle,Telecommunications,287.0,230.0,Hacker Group,Unpatched Software,Unknown,342.0
UK,2020.902083435884,Malware,Telecommunications,359.0,358.0,Insider,Unpatched Software,Antivirus,391.0
Brazil,2016.1713043115883,Malware,Government,287.0,318.0,Nation-state,Weak Passwords,Firewall,342.0
China,2023.85677643416,Unknown,Banking,312.0,368.0,Nation-state,Zero-day,VPN,226.0
Japan,2019.9899958340195,Malware,Telecommunications,359.0,339.0,Insider,Zero-day,AI-based Detection,439.0
Japan,2023.0161575938296,Unknown,Retail,305.0,286.0,Hacker Group,Unpatched Software,Firewall,353.0
France,2016.938839423676,Phishing,Unknown,136.0,239.0,Insider,Zero-day,AI-based Detection,226.0
Unknown,2023.935376209913,Phishing,Government,356.0,427.0,Nation-state,Social Engineering,Firewall,227.0
Germany,2019.898259653387,Ransomware,IT,287.0,292.0,Unknown,Zero-day,Encryption,376.0
Russia,2022.1461525082343,Malware,Healthcare,257.0,279.0,Insider,Weak Passwords,AI-based Detection,287.0
India,2017.2186202968933,Unknown,Retail,82.0,216.0,Unknown,Unpatched Software,Encryption,151.0
Japan,2024.024856130409,Ransomware,Banking,421.0,450.0,Nation-state,Weak Passwords,Unknown,324.0
France,2020.1957548076184,Ransomware,Healthcare,214.0,317.0,Nation-state,Unknown,Antivirus,189.0
China,2022.1695049425543,Phishing,Retail,275.0,316.0,Unknown,Social Engineering,AI-based Detection,279.0
China,2024.151620207267,DDoS,Healthcare,508.0,449.0,Hacker Group,Zero-day,Encryption,470.0
Brazil,2022.1504262186493,Ransomware,Banking,470.0,466.0,Insider,Unpatched Software,Firewall,435.0
Australia,2015.0279210841063,Malware,Healthcare,185.0,254.0,Hacker Group,Social Engineering,AI-based Detection,338.0
UK,2015.9007635081573,Man-in-the-Middle,Banking,156.0,220.0,Unknown,Weak Passwords,Encryption,320.0
Australia,2024.0569451741824,Man-in-the-Middle,Government,419.0,393.0,Nation-state,Weak Passwords,Encryption,413.0
Russia,2020.904159259664,Ransomware,Banking,319.0,333.0,Insider,Social Engineering,Firewall,362.0
India,2015.9428441460632,Malware,Banking,236.0,240.0,Insider,Social Engineering,,442.0
China,2022.223212639454,Malware,Education,308.0,355.0,Insider,Social Engineering,Antivirus,253.0
Japan,2022.0624806987528,Man-in-the-Middle,Retail,363.0,363.0,Unknown,Zero-day,Firewall,379.0
Australia,,Man-in-the-Middle,Telecommunications,,,Hacker Group,Unknown,Antivirus,328.0
,2017.896034258597,SQL Injection,Government,154.0,250.0,Unknown,Zero-day,Antivirus,216.0
France,2022.0641546432728,DDoS,Education,324.0,317.0,Nation-state,Zero-day,Antivirus,364.0
Australia,2018.0524663577105,Unknown,Healthcare,248.0,299.0,Unknown,Zero-day,VPN,321.0
Germany,2018.1031842646075,SQL Injection,Telecommunications,286.0,299.0,Insider,Zero-day,VPN,402.0
India,2021.905576770958,SQL Injection,Healthcare,287.0,423.0,Unknown,Zero-day,AI-based Detection,342.0
Brazil,2014.806782578345,Ransomware,Retail,287.0,,Hacker Group,Zero-day,Firewall,342.0
UK,2022.021687151646,Ransomware,Education,332.0,353.0,Nation-state,Unpatched Software,VPN,322.0
UK,2018.850870005493,Man-in-the-Middle,Banking,221.0,305.0,Insider,Social Engineering,VPN,251.0
Australia,2020.0297142063405,Malware,Banking,345.0,369.0,Hacker Group,Zero-day,AI-based Detection,390.0
Brazil,2023.0887964249976,Phishing,Government,478.0,428.0,Unknown,Weak Passwords,Unknown,482.0
Russia,2018.7419303966287,Phishing,Government,350.0,329.0,Nation-state,Social Engineering,Antivirus,444.0
Germany,2021.895387231931,SQL Injection,IT,282.0,343.0,Unknown,Zero-day,AI-based Detection,245.0
USA,2016.9018545725537,Phishing,Healthcare,182.0,262.0,Nation-state,Zero-day,Encryption,272.0
Australia,2016.850050561092,Ransomware,Education,171.0,246.0,Nation-state,Zero-day,Antivirus,277.0
Brazil,2015.10332462527,Ransomware,Retail,221.0,296.0,Hacker Group,Social Engineering,Antivirus,341.0
Russia,2017.030766549601,Man-in-the-Middle,IT,211.0,243.0,Hacker Group,Weak Passwords,Antivirus,369.0
Brazil,2015.9260345995824,SQL Injection,Retail,200.0,225.0,Unknown,Zero-day,Unknown,378.0
Brazil,2016.9521525336809,Man-in-the-Middle,IT,142.0,172.0,Unknown,Unknown,Firewall,314.0
Russia,2024.0251070929376,SQL Injection,Government,437.0,439.0,Unknown,Zero-day,Unknown,364.0
UK,2021.228629978164,Man-in-the-Middle,IT,287.0,356.0,Hacker Group,Unpatched Software,Encryption,342.0
Japan,2020.923031971562,Phishing,Government,382.0,416.0,Nation-state,Weak Passwords,AI-based Detection,381.0
Australia,2015.985791364536,Malware,Healthcare,120.0,166.0,Nation-state,Weak Passwords,Encryption,322.0
China,2024.222831936725,Malware,Retail,526.0,466.0,Unknown,Zero-day,VPN,486.0
USA,2016.9889357324053,SQL Injection,Healthcare,180.0,235.0,Hacker Group,Zero-day,VPN,321.0
Japan,2019.9378900041656,Phishing,Banking,314.0,344.0,Nation-state,Unpatched Software,VPN,364.0
Australia,2017.9039509492168,SQL Injection,IT,141.0,164.0,Unknown,Zero-day,Antivirus,312.0
UK,2014.959737965001,SQL Injection,Telecommunications,259.0,266.0,Hacker Group,Zero-day,VPN,448.0
Japan,2020.910953743236,DDoS,Education,358.0,387.0,Nation-state,Zero-day,AI-based Detection,354.0
USA,2017.9301379952992,Ransomware,Retail,215.0,284.0,Nation-state,Zero-day,Antivirus,282.0
USA,2021.083320320584,Man-in-the-Middle,Telecommunications,350.0,384.0,Nation-state,Zero-day,Firewall,337.0
India,2018.047826354601,Unknown,Banking,227.0,262.0,Nation-state,Weak Passwords,Encryption,331.0
Brazil,2019.8447405752568,Man-in-the-Middle,Education,287.0,,Hacker Group,Zero-day,Antivirus,342.0
France,2016.136808704972,Phishing,Banking,157.0,262.0,Unknown,Unpatched Software,Antivirus,235.0
Germany,2022.9308707502428,SQL Injection,Unknown,403.0,423.0,Unknown,Unknown,VPN,346.0
UK,,Man-in-the-Middle,Telecommunications,287.0,318.0,Hacker Group,Social Engineering,Antivirus,280.0
UK,2022.014577040852,Phishing,Education,275.0,306.0,Nation-state,Weak Passwords,AI-based Detection,293.0
Brazil,2023.05085005648,Malware,Government,421.0,431.0,Unknown,Zero-day,Firewall,362.0
India,2023.07095951428,Ransomware,Banking,353.0,380.0,Nation-state,Social Engineering,Antivirus,315.0
France,2024.2662724379936,Ransomware,Banking,312.0,362.0,Insider,Zero-day,VPN,246.0
Japan,2023.973734084821,DDoS,IT,455.0,492.0,Insider,Unpatched Software,Antivirus,320.0
Brazil,2014.9556208147217,SQL Injection,Unknown,156.0,214.0,Nation-state,Unpatched Software,Encryption,321.0
Brazil,2017.990078501136,Malware,Education,267.0,290.0,Nation-state,Unknown,Unknown,394.0
UK,2024.1029719945384,,Telecommunications,484.0,463.0,Unknown,Social Engineering,VPN,431.0
France,2019.7536702848856,Ransomware,Telecommunications,166.0,262.0,Unknown,Unpatched Software,Encryption,191.0
Australia,2019.9926704758363,Man-in-the-Middle,Banking,230.0,294.0,Unknown,Unpatched Software,Firewall,253.0
UK,2022.943081508456,Phishing,Healthcare,459.0,434.0,Hacker Group,Unknown,AI-based Detection,431.0
USA,2019.034152280497,SQL Injection,IT,212.0,310.0,Unknown,Weak Passwords,Unknown,222.0
Germany,2019.9707656364544,SQL Injection,Education,288.0,314.0,Hacker Group,Weak Passwords,Encryption,342.0
USA,2018.0524383202471,Malware,Education,165.0,209.0,Insider,Social Engineering,Firewall,292.0
France,2015.9413403470423,SQL Injection,Healthcare,212.0,280.0,Hacker Group,Weak Passwords,Encryption,326.0
Unknown,2022.8951429270376,SQL Injection,Banking,353.0,389.0,Insider,Unpatched Software,AI-based Detection,298.0
Australia,2023.1555475748328,Ransomware,Education,305.0,322.0,Unknown,Social Engineering,Encryption,293.0
China,2016.0640605566464,Unknown,Government,287.0,318.0,Insider,Unpatched Software,AI-based Detection,342.0
Japan,2018.166885993386,SQL Injection,Education,297.0,314.0,Hacker Group,Social Engineering,Antivirus,380.0
Germany,2023.2012153589933,Malware,Telecommunications,330.0,329.0,Unknown,Social Engineering,Encryption,342.0
Germany,2015.7968697023844,SQL Injection,IT,215.0,262.0,Unknown,Weak Passwords,AI-based Detection,363.0
Germany,2023.0734624806585,Ransomware,Healthcare,261.0,302.0,Nation-state,Social Engineering,AI-based Detection,259.0
USA,2017.1346863448584,Man-in-the-Middle,Retail,175.0,226.0,Hacker Group,Weak Passwords,AI-based Detection,318.0
USA,2019.089148751409,Ransomware,Healthcare,100.0,191.0,Nation-state,Zero-day,AI-based Detection,174.0
Brazil,2016.747978055865,SQL Injection,Government,217.0,284.0,Unknown,Weak Passwords,Encryption,316.0
Brazil,2017.965031994352,DDoS,Telecommunications,233.0,274.0,Hacker Group,Weak Passwords,AI-based Detection,349.0
France,2014.957376254914,Man-in-the-Middle,Healthcare,277.0,261.0,Hacker Group,Zero-day,Firewall,502.0
China,2021.984112338805,DDoS,Banking,427.0,412.0,Hacker Group,Unpatched Software,VPN,429.0
USA,2018.992272065841,Unknown,Government,232.0,286.0,Hacker Group,Weak Passwords,Encryption,296.0
Australia,2016.7820152583583,DDoS,Banking,,245.0,Hacker Group,Weak Passwords,Encryption,342.0
Germany,2020.89600456958,DDoS,Government,416.0,409.0,Hacker Group,Unpatched Software,Encryption,432.0
Japan,2023.095075389968,Man-in-the-Middle,Retail,301.0,368.0,Unknown,Zero-day,Encryption,218.0
China,2016.0218418020715,DDoS,IT,233.0,234.0,Hacker Group,Weak Passwords,VPN,431.0
USA,2019.253678828042,Man-in-the-Middle,Telecommunications,287.0,371.0,Unknown,Weak Passwords,Firewall,
UK,2015.9862476820365,DDoS,Telecommunications,254.0,311.0,Hacker Group,Social Engineering,AI-based Detection,366.0
China,2020.2659338205924,DDoS,Banking,223.0,264.0,Nation-state,Social Engineering,VPN,293.0
Brazil,2015.0092638237968,Malware,Unknown,146.0,173.0,Hacker Group,Zero-day,VPN,371.0
USA,2018.914979638938,Phishing,Unknown,172.0,195.0,Hacker Group,Weak Passwords,AI-based Detection,322.0
France,2016.7920984471184,Man-in-the-Middle,Education,281.0,313.0,Insider,Zero-day,AI-based Detection,397.0
Japan,2015.2083709302028,Malware,Telecommunications,291.0,278.0,,Zero-day,Encryption,495.0
USA,2017.9527408344047,SQL Injection,Government,281.0,317.0,Insider,Weak Passwords,AI-based Detection,350.0
Brazil,2017.819008751925,Malware,Education,260.0,275.0,Insider,Social Engineering,AI-based Detection,399.0
UK,,Unknown,Telecommunications,,318.0,Insider,Social Engineering,VPN,285.0
Russia,2021.8712692937493,Unknown,IT,440.0,400.0,Insider,Unknown,Encryption,462.0
India,2016.9290940427984,DDoS,Education,110.0,220.0,Hacker Group,Zero-day,AI-based Detection,189.0
USA,2018.705381151668,Malware,Government,313.0,337.0,Nation-state,Social Engineering,Encryption,394.0
Japan,2020.7797972727333,Unknown,Retail,235.0,266.0,Nation-state,Zero-day,Firewall,291.0
Japan,2016.7732877181595,SQL Injection,Banking,324.0,307.0,Hacker Group,Social Engineering,Unknown,505.0
Australia,2015.6890615878483,Malware,Education,143.0,210.0,Nation-state,Weak Passwords,Firewall,304.0
Brazil,2021.825626426712,Phishing,Healthcare,305.0,314.0,Unknown,Zero-day,Antivirus,344.0
Germany,2016.109379959064,SQL Injection,Unknown,249.0,284.0,Unknown,Social Engineering,VPN,397.0
USA,2016.8287528057683,Phishing,Banking,238.0,303.0,Hacker Group,Unpatched Software,AI-based Detection,341.0
Russia,2021.132525862406,DDoS,Banking,353.0,407.0,Insider,Social Engineering,VPN,305.0
Brazil,2020.849094546696,DDoS,Education,225.0,286.0,Hacker Group,Zero-day,Encryption,259.0
India,2020.9244420980167,SQL Injection,Telecommunications,408.0,389.0,Nation-state,Zero-day,AI-based Detection,444.0
Australia,2023.940509360882,Phishing,Banking,358.0,344.0,Nation-state,Unpatched Software,Encryption,371.0
Brazil,2015.930863616564,Phishing,Government,180.0,248.0,Hacker Group,Weak Passwords,VPN,326.0
India,2023.7718645410464,Phishing,Banking,421.0,403.0,Nation-state,Unpatched Software,Unknown,393.0
India,2014.8750022731213,Malware,Education,,287.0,Nation-state,Social Engineering,VPN,
Australia,2019.734481995352,Malware,Government,217.0,254.0,Nation-state,Zero-day,Antivirus,312.0
Russia,2020.9093465102096,Ransomware,Telecommunications,287.0,318.0,Nation-state,Weak Passwords,VPN,342.0
India,2017.8332515384643,SQL Injection,Education,302.0,341.0,Nation-state,Zero-day,Antivirus,377.0
Germany,2020.118117451152,Man-in-the-Middle,Unknown,,328.0,Nation-state,Unknown,Firewall,
China,2023.8389144049104,DDoS,IT,440.0,437.0,Nation-state,Social Engineering,Encryption,379.0
France,2021.142790493296,Man-in-the-Middle,Healthcare,228.0,283.0,Insider,Weak Passwords,AI-based Detection,258.0
USA,2016.001509939217,Ransomware,Government,158.0,257.0,Nation-state,Social Engineering,Antivirus,269.0
Brazil,2021.8376257204864,SQL Injection,Retail,379.0,435.0,Nation-state,Zero-day,Antivirus,315.0
Brazil,2014.948332293924,DDoS,Retail,85.0,177.0,Nation-state,Social Engineering,Firewall,260.0
India,2022.1003953674497,DDoS,IT,293.0,316.0,Unknown,Weak Passwords,Encryption,295.0
Japan,2022.902015794422,Man-in-the-Middle,Telecommunications,397.0,377.0,Nation-state,Social Engineering,Encryption,403.0
UK,2022.002959434195,Ransomware,IT,354.0,363.0,Unknown,Zero-day,Encryption,368.0
Japan,2021.125234448148,Man-in-the-Middle,Government,345.0,421.0,Unknown,Zero-day,AI-based Detection,257.0
Australia,2018.0499184374305,Phishing,Healthcare,287.0,238.0,Hacker Group,Social Engineering,Antivirus,342.0
India,2022.1777891424467,Ransomware,Retail,228.0,316.0,Hacker Group,Social Engineering,AI-based Detection,190.0
France,2019.9880185388777,DDoS,IT,374.0,387.0,Nation-state,Social Engineering,Encryption,413.0
UK,2019.8447405752568,Malware,Education,287.0,,Hacker Group,Social Engineering,AI-based Detection,171.0
France,2019.134053601672,Man-in-the-Middle,Telecommunications,272.0,324.0,Insider,Unpatched Software,Unknown,324.0
Germany,2016.939282248944,,Healthcare,165.0,259.0,Insider,Weak Passwords,Encryption,257.0
India,2015.027683071076,Phishing,Healthcare,177.0,253.0,Unknown,Zero-day,Unknown,314.0
Japan,2017.82648293977,SQL Injection,IT,186.0,196.0,Insider,Unpatched Software,AI-based Detection,379.0
China,2017.1178623268304,Phishing,Retail,287.0,,Unknown,Unpatched Software,Encryption,342.0
Germany,2019.0429044961768,DDoS,IT,303.0,295.0,Hacker Group,Zero-day,Encryption,427.0
Australia,2016.1870375413564,Phishing,Healthcare,204.0,212.0,Hacker Group,Unpatched Software,Unknown,411.0
France,2019.0277606646152,Malware,IT,366.0,415.0,Insider,Unknown,Firewall,361.0
UK,2022.9675087531327,DDoS,IT,384.0,401.0,Unknown,Zero-day,AI-based Detection,356.0
UK,2022.0995200893467,Phishing,Government,329.0,370.0,Nation-state,Weak Passwords,Firewall,304.0
USA,2023.04543065906,Ransomware,Government,349.0,366.0,Nation-state,Zero-day,AI-based Detection,323.0
USA,2019.8960996494025,SQL Injection,Government,294.0,354.0,Hacker Group,Social Engineering,Firewall,320.0
Japan,2021.890709493622,DDoS,IT,228.0,269.0,Insider,Zero-day,AI-based Detection,260.0
Germany,2021.9003571683245,SQL Injection,Retail,401.0,428.0,Hacker Group,Zero-day,VPN,344.0
UK,2020.1152037328904,,Banking,324.0,366.0,Unknown,Zero-day,Firewall,345.0
India,2023.1138898847296,Phishing,Unknown,420.0,367.0,Hacker Group,Unpatched Software,AI-based Detection,437.0
China,2015.957821906312,Malware,Government,275.0,305.0,Insider,Unpatched Software,AI-based Detection,431.0
France,2015.0455365452951,Man-in-the-Middle,Education,285.0,290.0,Unknown,Social Engineering,Encryption,464.0
Russia,2017.946662081869,Man-in-the-Middle,Telecommunications,171.0,262.0,Hacker Group,Unpatched Software,VPN,232.0
Japan,2021.057870942328,Unknown,Healthcare,375.0,386.0,Nation-state,Weak Passwords,Encryption,374.0
USA,2021.0297575735635,Phishing,Healthcare,326.0,320.0,Unknown,Social Engineering,Encryption,395.0
Australia,2024.4255746408555,SQL Injection,Retail,477.0,450.0,Hacker Group,Weak Passwords,AI-based Detection,410.0
Unknown,2017.7787061042,Malware,Education,287.0,277.0,Hacker Group,Unknown,Firewall,342.0
India,2019.8666012768315,Unknown,Healthcare,209.0,235.0,Unknown,Unpatched Software,Firewall,304.0
Australia,2017.1532520500864,Phishing,Healthcare,287.0,318.0,Unknown,Weak Passwords,Firewall,342.0
India,2023.012736963777,Unknown,Banking,391.0,410.0,Insider,,VPN,335.0
Japan,2015.0624726990968,DDoS,Banking,66.0,180.0,Insider,Zero-day,Firewall,225.0
Australia,2020.8925194605024,DDoS,Government,291.0,270.0,Insider,Social Engineering,Encryption,403.0
France,2017.1098064982668,DDoS,Government,167.0,223.0,Nation-state,Unpatched Software,VPN,294.0
USA,2014.7172023485032,DDoS,IT,94.0,158.0,Unknown,Weak Passwords,VPN,314.0
Russia,2018.916322610529,Ransomware,Telecommunications,270.0,313.0,Nation-state,Zero-day,Encryption,324.0
USA,2021.9078252017089,Malware,Retail,427.0,432.0,Hacker Group,Unknown,VPN,395.0
USA,2016.0439062328871,Ransomware,Retail,172.0,264.0,Unknown,Unpatched Software,Antivirus,287.0
China,2016.127906529604,DDoS,IT,156.0,235.0,Hacker Group,Social Engineering,Firewall,279.0
USA,2016.8948268098216,Malware,Education,289.0,321.0,Nation-state,Social Engineering,Antivirus,415.0
Australia,2015.8084521410497,Man-in-the-Middle,IT,128.0,220.0,Unknown,Weak Passwords,Firewall,264.0
France,2022.6988211068965,Man-in-the-Middle,Unknown,426.0,348.0,Hacker Group,Unpatched Software,Unknown,482.0
France,2016.8005984283257,Phishing,Retail,97.0,175.0,Nation-state,Zero-day,Encryption,246.0
Russia,2020.9902888496235,DDoS,Retail,242.0,275.0,Hacker Group,Unpatched Software,AI-based Detection,296.0
USA,2024.291721498836,SQL Injection,Banking,311.0,330.0,Hacker Group,Weak Passwords,Antivirus,282.0
Russia,2017.1783431741387,Phishing,Banking,287.0,316.0,Hacker Group,Weak Passwords,VPN,399.0
Australia,2014.9659685880767,Malware,Healthcare,166.0,274.0,Unknown,Zero-day,Antivirus,279.0
France,2017.773231033777,DDoS,Government,240.0,307.0,Hacker Group,Unknown,Antivirus,309.0
USA,2022.1786632553064,Unknown,Government,299.0,362.0,Hacker Group,Weak Passwords,Antivirus,262.0
USA,2018.169599404525,Ransomware,Healthcare,378.0,406.0,Hacker Group,Social Engineering,Antivirus,410.0
China,2021.0581636329407,Malware,Education,298.0,301.0,Nation-state,Unpatched Software,Encryption,368.0
UK,2019.0048395969573,Phishing,Education,277.0,333.0,Nation-state,Zero-day,Firewall,310.0
France,2020.669100160504,SQL Injection,Retail,287.0,280.0,Nation-state,Weak Passwords,Unknown,342.0
Australia,2017.062088172368,SQL Injection,IT,281.0,329.0,Insider,Weak Passwords,Encryption,375.0
China,2020.051761222212,SQL Injection,IT,422.0,397.0,Nation-state,Unpatched Software,Firewall,479.0
USA,2024.0748360778127,Phishing,IT,464.0,419.0,Hacker Group,Social Engineering,AI-based Detection,438.0
France,2015.112532194508,SQL Injection,Education,192.0,212.0,Unknown,Zero-day,VPN,420.0
UK,2019.263554193104,Phishing,Government,133.0,235.0,Hacker Group,Weak Passwords,Firewall,173.0
Australia,2016.8574010931093,Phishing,Banking,148.0,232.0,Insider,Weak Passwords,AI-based Detection,258.0
Germany,2016.1744887084503,Phishing,IT,53.0,191.0,Unknown,Zero-day,VPN,168.0
India,2014.78833745674,Unknown,Telecommunications,275.0,294.0,Hacker Group,Social Engineering,Encryption,456.0
Japan,2022.9260081002744,SQL Injection,Government,420.0,405.0,Hacker Group,Social Engineering,Firewall,405.0
UK,2014.8423420344443,Malware,IT,111.0,187.0,Nation-state,Unpatched Software,Encryption,299.0
India,2015.935428942312,Ransomware,IT,174.0,180.0,Hacker Group,Unpatched Software,Encryption,401.0
Russia,2022.0327082669985,Malware,Banking,485.0,458.0,Hacker Group,Social Engineering,Firewall,475.0
Japan,2020.690659635385,DDoS,Government,287.0,415.0,Unknown,Zero-day,Firewall,
France,2019.8931620466528,Malware,Government,251.0,334.0,Nation-state,Unpatched Software,AI-based Detection,233.0
China,2021.87449187099,DDoS,Government,291.0,328.0,Unknown,Zero-day,Encryption,292.0
Unknown,2016.1466797864623,DDoS,Telecommunications,295.0,286.0,Nation-state,Zero-day,Encryption,466.0
France,2018.1907756975925,SQL Injection,Healthcare,198.0,247.0,Unknown,Unpatched Software,Antivirus,308.0
India,2018.0765963707368,Ransomware,IT,146.0,251.0,Unknown,Unpatched Software,Antivirus,203.0
Germany,2023.006062918906,Unknown,Healthcare,368.0,378.0,Nation-state,Weak Passwords,Encryption,338.0
Russia,2022.0735485780983,Ransomware,IT,355.0,367.0,Insider,Unpatched Software,AI-based Detection,355.0
Brazil,2023.889465942472,Man-in-the-Middle,Education,373.0,410.0,Unknown,Weak Passwords,Encryption,281.0
India,2017.116374455956,Ransomware,Education,186.0,226.0,Unknown,Social Engineering,VPN,344.0
Russia,2024.225792646329,Man-in-the-Middle,Healthcare,425.0,407.0,Nation-state,Unpatched Software,Encryption,400.0
Australia,,Ransomware,Telecommunications,287.0,,Nation-state,Unpatched Software,VPN,406.0
Brazil,2018.181971374463,Ransomware,Banking,371.0,385.0,Nation-state,Social Engineering,Antivirus,432.0
Unknown,2017.7989416225216,Ransomware,Banking,204.0,290.0,Nation-state,Weak Passwords,Antivirus,266.0
Australia,2016.8323077504765,Man-in-the-Middle,Banking,86.0,198.0,Unknown,Social Engineering,VPN,193.0
China,2022.9115538744209,Malware,Unknown,284.0,315.0,Unknown,Social Engineering,Antivirus,277.0
USA,2017.827529275765,DDoS,IT,199.0,223.0,Unknown,Weak Passwords,Firewall,353.0
India,2014.9965113096057,Ransomware,Telecommunications,310.0,341.0,Hacker Group,Unpatched Software,VPN,442.0
China,,Malware,Education,,318.0,Unknown,Social Engineering,Antivirus,245.0
Unknown,2020.2131995427967,Man-in-the-Middle,Telecommunications,429.0,428.0,Hacker Group,Unpatched Software,Antivirus,456.0
Japan,2022.068258555926,DDoS,Telecommunications,309.0,345.0,Unknown,Unpatched Software,Firewall,298.0
Unknown,2020.1141776949623,Unknown,Government,312.0,309.0,Nation-state,Social Engineering,Encryption,395.0
UK,2014.8648534266515,Ransomware,Banking,287.0,263.0,Unknown,Social Engineering,Firewall,342.0
China,2019.8780746143216,Malware,Healthcare,268.0,275.0,Insider,Weak Passwords,Encryption,360.0
USA,2016.0608521052795,DDoS,Healthcare,252.0,253.0,Nation-state,Weak Passwords,Firewall,448.0
Brazil,2018.094645108498,Malware,Healthcare,258.0,314.0,Insider,Zero-day,Antivirus,337.0
China,2019.1904717092948,Malware,Healthcare,219.0,266.0,Insider,Weak Passwords,Antivirus,309.0
France,2019.058244876164,Phishing,Retail,325.0,357.0,Insider,Weak Passwords,AI-based Detection,363.0
India,2017.135608004589,DDoS,Retail,293.0,310.0,Hacker Group,Unpatched Software,AI-based Detection,417.0
UK,2019.027348463003,Phishing,Banking,269.0,253.0,Insider,Zero-day,Encryption,424.0
Japan,2016.9647426799831,Ransomware,Banking,89.0,192.0,Hacker Group,Unknown,Antivirus,208.0
Unknown,2017.1031873489164,Phishing,Retail,129.0,183.0,Hacker Group,Unpatched Software,Firewall,286.0
Germany,2021.9744795925865,DDoS,IT,451.0,424.0,Insider,Weak Passwords,Firewall,453.0
Japan,2023.0316860404887,SQL Injection,Retail,393.0,391.0,Nation-state,Weak Passwords,VPN,372.0
Brazil,2022.411498314833,Man-in-the-Middle,Education,471.0,449.0,Insider,Zero-day,Firewall,443.0
India,2016.1309830342352,Ransomware,Education,306.0,346.0,Unknown,Social Engineering,Firewall,419.0
